base_model,exp,seed,wandb_url,hf_repo_url,hf_repo_id,revision
EleutherAI/pythia-6.9b-deduped,dpo,77713,https://wandb.ai/costa-huang/tldr_summarize/runs/b6s16el5,https://huggingface.co/vwxyzjn/EleutherAI_pythia-6.9b-deduped__dpo__tldr/tree/dpo__77713__1707405254,vwxyzjn/EleutherAI_pythia-6.9b-deduped__dpo__tldr,dpo__77713__1707405254
EleutherAI/pythia-6.9b-deduped,dpo,44413,https://wandb.ai/costa-huang/tldr_summarize/runs/d74g2g6h,https://huggingface.co/vwxyzjn/EleutherAI_pythia-6.9b-deduped__dpo__tldr/tree/dpo__44413__1707405254,vwxyzjn/EleutherAI_pythia-6.9b-deduped__dpo__tldr,dpo__44413__1707405254
EleutherAI/pythia-6.9b-deduped,dpo,66613,https://wandb.ai/costa-huang/tldr_summarize/runs/vqmnsm28,https://huggingface.co/vwxyzjn/EleutherAI_pythia-6.9b-deduped__dpo__tldr/tree/dpo__66613__1707405253,vwxyzjn/EleutherAI_pythia-6.9b-deduped__dpo__tldr,dpo__66613__1707405253
EleutherAI/pythia-1b-deduped,dpo,77713,https://wandb.ai/costa-huang/tldr_summarize/runs/aeva99t7,https://huggingface.co/vwxyzjn/EleutherAI_pythia-1b-deduped__dpo__tldr/tree/dpo__77713__1707380008,vwxyzjn/EleutherAI_pythia-1b-deduped__dpo__tldr,dpo__77713__1707380008
EleutherAI/pythia-1b-deduped,dpo,66613,https://wandb.ai/costa-huang/tldr_summarize/runs/6ogw6xiz,https://huggingface.co/vwxyzjn/EleutherAI_pythia-1b-deduped__dpo__tldr/tree/dpo__66613__1707379613,vwxyzjn/EleutherAI_pythia-1b-deduped__dpo__tldr,dpo__66613__1707379613
EleutherAI/pythia-1b-deduped,dpo,55513,https://wandb.ai/costa-huang/tldr_summarize/runs/tewm564g,https://huggingface.co/vwxyzjn/EleutherAI_pythia-1b-deduped__dpo__tldr/tree/dpo__55513__1707379566,vwxyzjn/EleutherAI_pythia-1b-deduped__dpo__tldr,dpo__55513__1707379566
EleutherAI/pythia-1b-deduped,dpo,44413,https://wandb.ai/costa-huang/tldr_summarize/runs/z4b1cmpc,https://huggingface.co/vwxyzjn/EleutherAI_pythia-1b-deduped__dpo__tldr/tree/dpo__44413__1707379466,vwxyzjn/EleutherAI_pythia-1b-deduped__dpo__tldr,dpo__44413__1707379466
EleutherAI/pythia-2.8b-deduped,dpo,77713,https://wandb.ai/costa-huang/tldr_summarize/runs/iembto0t,https://huggingface.co/vwxyzjn/EleutherAI_pythia-2.8b-deduped__dpo__tldr/tree/dpo__77713__1707368092,vwxyzjn/EleutherAI_pythia-2.8b-deduped__dpo__tldr,dpo__77713__1707368092
EleutherAI/pythia-2.8b-deduped,dpo,66613,https://wandb.ai/costa-huang/tldr_summarize/runs/a23lrjme,https://huggingface.co/vwxyzjn/EleutherAI_pythia-2.8b-deduped__dpo__tldr/tree/dpo__66613__1707367742,vwxyzjn/EleutherAI_pythia-2.8b-deduped__dpo__tldr,dpo__66613__1707367742
EleutherAI/pythia-2.8b-deduped,dpo,55513,https://wandb.ai/costa-huang/tldr_summarize/runs/kiqmkrvt,https://huggingface.co/vwxyzjn/EleutherAI_pythia-2.8b-deduped__dpo__tldr/tree/dpo__55513__1707367250,vwxyzjn/EleutherAI_pythia-2.8b-deduped__dpo__tldr,dpo__55513__1707367250
EleutherAI/pythia-2.8b-deduped,dpo,44413,https://wandb.ai/costa-huang/tldr_summarize/runs/t5oj2t2r,https://huggingface.co/vwxyzjn/EleutherAI_pythia-2.8b-deduped__dpo__tldr/tree/dpo__44413__1707367217,vwxyzjn/EleutherAI_pythia-2.8b-deduped__dpo__tldr,dpo__44413__1707367217
